0.000, inf
0.010, 0.09418261246614062
0.020, 0.023674344263560566
0.030, 0.010573367074678127
0.040, 0.005903760867406636
0.050, 0.003793764114819759
0.060, 0.0026258850181996047
0.070, 0.001930997394844833
0.080, 0.001476764012437526
0.090, 0.0011679144962489904
0.100, 0.0009442566164471012
0.200, 0.00023439223514706904
0.300, 0.00010218901238585842
0.400, 5.609110071391454e-05
0.500, 3.5223871080215654e-05
0.600, 2.407521946525466e-05
0.700, 1.7791697289979774e-05
0.800, 1.4133408567350757e-05
0.900, 1.2345430959893558e-05
1.000, 1.1699859919569534e-05
